"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,SASJ,SSA,"019","24049",
2017-01-01,SANT,SEQM,"019","24049",
2017-01-01,SADF,SEQM,"019","24049",
2017-01-01,SAEZ,SEQM,"019","24049",
2017-01-01,SAEZ,SEQU,"019","24049",
2017-01-01,SADF,SELT,"019","24049",
2017-01-01,SAEZ,SELT,"019","24049",
2017-01-01,SASJ,SEMT,"019","24049",
2017-01-01,SASA,SEMT,"019","24049",
2017-01-01,SANT,SEMT,"019","24049",
2017-01-01,SACO,SEMT,"019","24049",
2017-01-01,SADF,SEMT,"019","24049",
2017-01-01,SABE,SEMT,"019","24049",
2017-01-01,SAEZ,SEMT,"019","24049",
2017-01-01,SANT,SBBE,"019","24049",
2017-01-01,SAEZ,SBBE,"019","24049",
2017-01-01,SAEZ,SVVA,"019","24049",
2017-01-01,SARI,SVCS,"019","24049",
2017-01-01,SABE,SKCG,"019","24049",
2017-01-01,SAEZ,SKCG,"019","24049",
2017-01-01,SAEZ,SVMC,"019","24049",
2017-01-01,SADF,SVMI,"019","24049",
2017-01-01,SABE,SVMI,"019","24049",
2017-01-01,SAEZ,SVMI,"019","24049",
2017-01-01,SAEZ,TGPY,"019","24049",
2017-01-01,SADF,TNCB,"019","24049",
2017-01-01,SADF,TNCC,"019","24049",
2017-01-01,SACO,SKSP,"019","24049",
2017-01-01,SACO,SBSV,"019","24049",
2017-01-01,SABE,SBSV,"019","24049",
2017-01-01,SAEZ,SBSV,"019","24049",
2017-01-01,SAVC,SBSV,"019","24049",
2017-01-01,SAEZ,TBPB,"019","24049",
2017-01-01,SADF,SPZO,"019","24049",
2017-01-01,SABE,SPZO,"019","24049",
2017-01-01,SAEZ,SPZO,"019","24049",
2017-01-01,SAZS,SPZO,"019","24049",
2017-01-01,SADF,SPSO,"019","24049",
2017-01-01,SAAR,MGGT,"019","24049",
2017-01-01,SABE,MGGT,"019","24049",
2017-01-01,SANU,GOOY,"019","24049",
2017-01-01,SAEZ,GOOY,"019","24049",
2017-01-01,SABE,MMTP,"019","24049",
2017-01-01,SAEZ,MMTP,"019","24049",
2017-01-01,SARI,SBBR,"019","24049",
2017-01-01,SAME,SBBR,"019","24049",
2017-01-01,SADF,SBBR,"019","24049",
2017-01-01,SABE,SBBR,"019","24049",
2017-01-01,SAEZ,SBBR,"019","24049",
2017-01-01,SAWH,SPQU,"019","24049",
2017-01-01,SACO,SBPS,"019","24049",
2017-01-01,SABE,SBPS,"019","24049",
2017-01-01,SAEZ,SBPS,"019","24049",
2017-01-01,SASA,SLLP,"019","24049",
2017-01-01,SADF,SLLP,"019","24049",
2017-01-01,SABE,SLLP,"019","24049",
2017-01-01,SACO,GVAC,"019","24049",
2017-01-01,SAME,GVAC,"019","24049",
2017-01-01,SADF,GVAC,"019","24049",
2017-01-01,SABE,GVAC,"019","24049",
2017-01-01,SAEZ,GVAC,"019","24049",
2017-01-01,SAZY,GVAC,"019","24049",
2017-01-01,SAZS,GVAC,"019","24049",
2017-01-01,SAAR,TAPA,"019","24049",
2017-01-01,SASA,SLCB,"019","24049",
2017-01-01,SAME,SLCB,"019","24049",
2017-01-01,SADF,SLCB,"019","24049",
2017-01-01,SAEZ,SLCB,"019","24049",
2017-01-01,SASJ,SLVR,"019","24049",
2017-01-01,SASA,SLVR,"019","24049",
2017-01-01,SANT,SLVR,"019","24049",
2017-01-01,SARE,SLVR,"019","24049",
2017-01-01,SACO,SLVR,"019","24049",
2017-01-01,SANU,SLVR,"019","24049",
2017-01-01,SADF,SLVR,"019","24049",
2017-01-01,SABE,SLVR,"019","24049",
2017-01-01,SAEZ,SLVR,"019","24049",
2017-01-01,SAEZ,TISX,"019","24049",
2017-01-01,SAEZ,MKJP,"019","24049",
2017-01-01,SASA,TNCM,"019","24049",
2017-01-01,SANU,TNCM,"019","24049",
2017-01-01,SAEZ,TNCM,"019","24049",
